date,artist_id,artist,venue,city,country_code,country,songs
17-07-2024,081b133e-ce74-42ba-92c1-c18234acb532,Andrew Bird,Ting Pavilion,Charlottesville,US,United States,"Softly as in a Morning Sunrise, I Fall in Love Too Easily, Why?, Bloodless, Sisyphus, Underlands, The Night Before Your Birthday, Three White Horses, Orpheo Looks Back, Give It Away, Manifest, Caravan, Pulaski at Night, Tables and Chairs"
14-07-2024,e23eac42-f904-47da-8599-823ff431bea4,Michael Franti & Spearhead,Ting Pavilion,Charlottesville,US,United States,"Meet Me When The Sun Goes Down, The Sound of Sunshine, Vibe Check (My Kinda Party), Brighter Day, I Got You, Good Day for a Good Day, Work Hard and Be Nice, Lay It All Down, Big Big Love, Life Is Better With You, Lost But Not Alone, I Hope I Come Back as a Song, Happy Is The New Sexy, Hands Up To The Sky, Say Hey (I Love You), Imagine, Three Little Birds"
22-06-2024,94f8947c-2d9c-4519-bcf9-6d11a24ad006,Dead & Company,Sphere at The Venetian Resort,Las Vegas,US,United States,"Minglewood Blues, Shakedown Street, Bertha, When I Paint My Masterpiece, Jack Straw, Sugar Magnolia, Uncle John's Band, St. Stephen, Morning Dew, Terrapin Station, Drums, Space, All Along the Watchtower, Stella Blue, Althea, Brokedown Palace, Old News Broadcast of the Grateful Dead, Not Fade Away"
21-06-2024,6d516230-b18f-4ba9-95b1-4e7aa6646a4b,Melvin Seals & JGB,Brooklyn Bowl,Las Vegas,US,United States,"Let's Spend the Night Together, Expressway to Your Heart, Dear Prudence, Tore Up Over You, And It Stoned Me, Mystery Train, Cats Under the Stars, The Wheel, Drums and Space Jam, Corrina, Like a Road Leading Home"
21-06-2024,054e2798-297d-4396-bb09-8bffda628e43,Pink Talking Fish,Brooklyn Bowl,Las Vegas,US,United States,"In the Flesh?, Burning Down the House, Tennessee Jed / Ocelot, Fearless, Prince Caspian, Psycho Killer, Shakedown Street, Also sprach Zarathustra, op. 30, The Happiest Days of Our Lives, Another Brick in the Wall, Part 2, This Must Be the Place (Naive Melody), Another Brick in the Wall, Part 3, Possum, Time, The Great Gig in the Sky, Not Fade Away, Carini / War Pigs, Once in a Lifetime, Can't Find My Way Home, I've Got a Feeling / Quinn the Eskimo (The Mighty Quinn)"
21-06-2024,94f8947c-2d9c-4519-bcf9-6d11a24ad006,Dead & Company,Sphere at The Venetian Resort,Las Vegas,US,United States,"Good Times, Mississippi Half-Step Uptown Toodeloo, Easy Wind, Ramble On Rose, The Weight, Lost Sailor, Saint of Circumstance, Casey Jones, Help on the Way, Slipknot!, Deal, Scarlet Begonias, Fire on the Mountain, Drums, Space, Standing on the Moon, Brown-Eyed Women, Eyes of the World, Old News Broadcast of the Grateful Dead, Touch of Grey"
20-06-2024,94f8947c-2d9c-4519-bcf9-6d11a24ad006,Dead & Company,Sphere at The Venetian Resort,Las Vegas,US,United States,"Man Smart, Woman Smarter, Playing in the Band, They Love Each Other, Tennessee Jed, Dire Wolf, Greatest Story Ever Told, Sugaree, China Cat Sunflower, I Know You Rider, He's Gone, The Other One, Drums, Space, The Wheel, Franklin's Tower, U.S. Blues, Throwing Stones, Old News Broadcast of the Grateful Dead, Turn On Your Love Light"
14-06-2024,fcd4279a-976d-40c0-a090-5760e348831c,Blue Healer,The Front Porch,Charlottesville,US,United States,"Roadhouse Blues, Hey Bulldog, Gold on the Ceiling, Driver 8, California Stars, The Waiting, I Got the Same Old Blues, Ain't Wastin' Time No More, Just What I Needed, Low, Can't You Hear Me Knocking, Black Magic Woman, Going Down, Rocky Mountain Way, Gimme Shelter, American Girl"
07-06-2024,f55fbb8a-7b59-4acc-bbe7-51bc8eedf28c,Jacob Paul Allen,The Southern Cafe & Music Hall,Charlottesville,US,United States,"Drunken Poet's Dream, Ain't No Lie, Mean and Cruel, Guitars, Cadillacs, Back to the Southland, Postcard from Nowhere, Tie One On, If You Were a Number"
07-06-2024,e78c6f68-fc02-4707-bdd7-5af468f99078,The Currys,Ting Pavilion,Charlottesville,US,United States,"Atlantic City, Rude Awakening, Gulf Coast Home, Dreams, Whiskey, You're the Devil, Happy Birthday to You, Please Please Me, Sure Thing, Shithole, You Are My Sunshine, Wrecking Ball, Novelty"
16-05-2024,cff95140-6d57-498a-8834-10eb72865b29,The String Cheese Incident,Ting Pavilion,Charlottesville,US,United States,"Lonesome Road Blues, Outside and Inside, Enjoy the Ride, Mouna Bowa, Get Tight, Roll Around the Sun, Restless Wind, Trip The Light Fantastic, Group Hoot, Black Clouds, Boogie On Reggae Woman, Eye Know Why, Tinder Box, Tore Up Over You, Song in My Head, Rollover, Valley of the Jig, Ring of Fire"
16-05-2024,2c81816c-4ce5-4872-bf76-bc8f5ef9338d,Sisters & Brothers,The Southern Cafe & Music Hall,Charlottesville,US,United States,"Rubin and Cherise, Franklin's Tower, Tough Mama, He Ain't Give You None, I Second That Emotion, My Sisters and Brothers, Deal, The Maker, Ain't No Bread in the Breadbox, Eleanor Rigby, Ain't No Bread in the Breadbox"
04-05-2024,81617ef9-d498-48a3-a9a7-0f68fe63a5f4,Terrified of Spiders,Rapture,Charlottesville,US,United States,"Country Squire, I Shot the Sheriff, Cold Rain and Snow, Dear Prudence, Honky Cat, Meat Sweats, Ophelia, Walk of Life, Cocaine, Doctor My Eyes, Franklin's Tower, She Don't Use Jelly, Folsom Prison Blues, Wanting War, Royals, 9 to 5, Bulletproof, St. Stephen, Sweet Home Alabama, Eleanor Rigby, Wanting War, Scarlet Begonias, Vile Beguile, Dani California, Your Mama Don't Dance, I Know You Rider, Old Man, Rosa Lee McFall, The Weight"
03-05-2024,2df2df19-b0d3-477f-a8da-8a66a7f44e10,Chickenhead Blues Band,Holly’s Diner,Charlottesville,US,United States,
03-05-2024,42b38ec4-8ecb-4241-9320-30d5dd9f6556,David Wax Museum,Ting Pavilion,Charlottesville,US,United States,"Best Lover, El Ahualulco, Love Comes Around, Equal in the Darkness, Juniper Jones, You Must Change Your Life, Be Patient, Letras de Colas, Your Heart's a Piñata, Only Ones Awake, Pattern of Mind, Born with a Broken Heart, This Life Is Kindly, Harder Before It Gets Easier, Big Sur"
14-04-2024,41a18d7b-e456-4fc9-8cf5-c46c90ee3e90,Rachael Davis,The Southern Cafe & Music Hall,Charlottesville,US,United States,"Lazarus, Summertime, Radio Hill, Wrong, Can I Come Over?, Lela May, St. Joan, Bergson's Tune"
13-04-2024,23f20841-f311-4b92-9ff9-65d1b25340dd,Chatham County Line,The Southern Cafe & Music Hall,Charlottesville,US,United States,"Chip of a Star, Right on Time, Queen Anne’s Gold, Rock in the River, Stone, Ghost of Woody Guthrie, Way Down Yonder, Crop Comes In, She's Got You, The Traveler, Heaven, Under the Willow Tree, Magic, Strange Fascination, Station to Station, Speed of the Whippoorwill, Lone Ranger, B S R"
28-03-2024,c914d97d-a8fe-4d60-8cbf-0745df32f652,Last Fair Deal,The Foundry,Waynesboro,US,United States,"Promised Land, Sugaree, Black-Throated Wind, Next Time You See Me, They Love Each Other, Minglewood Blues, Tennessee Jed, Looks Like Rain, Ramble On Rose, Beat It on Down the Line, Deal, China Cat Sunflower, I Know You Rider, Happy Birthday to You, Samson and Delilah, Mississippi Half-Step Uptown Toodeloo, Good Morning, School Girl, Drums, The Other One, St. Stephen, The Eleven, Turn On Your Love Light, Brokedown Palace"
26-03-2024,5084f6bf-c817-4ad2-950b-8caf8677fa0b,Dervish,The Haven,Charlottesville,US,United States,"Kitty Come Down to Limerick set, Knockcrocker, Sporting Paddy, Dónal Óg, The Rambling Irishman, The Forgotten Fling, New Found Out, Baba Chonraoi, Molly Malone, The Galway Shawl, The Green Gowned Lass, Down by the Glenside (The Bold Fenian Men), The Coolea Jigs"
15-03-2024,d3fb1614-78fd-4555-9c68-f8b25add2de7,Carbon Leaf,The Jefferson Theater,Charlottesville,US,United States,"Ruby, Gathering, Indecision, Changeless, What About Everything?, Two Aging Truckers, Gifts From the Crows, Paloma, Desperation Song, Oi, Morrison's Jig, Bow & Arrow, Banish Misfortune, The Boxer, She's Gone (…for Good This Time), Grey Sky Eyes, The War Was in Color, On Any Given Day, Pale Blue Dot, One Prairie Outpost, Life Less Ordinary, Let Your Troubles Roll By, I Know the Reason, Lake of Silver Bells"
15-03-2024,143d5820-dbf1-4f72-be37-c1b46b353a3b,Villages,The Jefferson Theater,Charlottesville,US,United States,"New Orleans, Don't Think Twice, It's All Right"
14-03-2024,5dc2ada8-9a8b-4db3-ae75-338ababe57df,Shadowgrass,The Southern Cafe & Music Hall,Charlottesville,US,United States,
03-03-2024,4486702e-7b26-43fd-babc-c0df7be0e1d9,St. Paul & The Broken Bones,The Jefferson Theater,Charlottesville,US,United States,"Wichita Lineman, Super Freak, Opening Marvin Jam, Call Me, Half the City, I'm Torn Up, Wolf In Rabbit Clothes, City Federal Building, Grass Is Greener, Roach Clip Instrumental, Convex, Minotaur, GotItBad, Apollo, Like a Mighty River, Sanctify, The Last Dance, Broken Bones & Pocket Change, I Am Very Glad, As I Am Finally Returning Back Home (aka ""Trololo Song"")"
03-03-2024,49f9d797-4a34-4076-a0da-03a1d4c7c010,Sugadaisy,The Jefferson Theater,Charlottesville,US,United States,"Born this way, Dusk vs Dawn, Sometimes love, Pretend, Heart of mine"
01-03-2024,a916ce0a-0ab7-4b2f-b169-2166b746e31e,Donna the Buffalo,The Jefferson Theater,Charlottesville,US,United States,"Funky Side, Motor, Positive Friction, The Ones You Love, Heaven and the Earth, Sitting on Top of the World, Hold That Tiger Down, Seems to Want to Hurt This Time, If You Only Could, Going Up the Country, Mystic Water, Yonder, No Place Like the Right Time, Tumbling Dice"
23-02-2024,ccd69c22-fba6-4ff9-9c6f-e3b2867759dc,Zoso,The Jefferson Theater,Charlottesville,US,United States,"Bron-Yr-Aur, Rock and Roll, Good Times Bad Times, Immigrant Song, Custard Pie, Black Dog, Dancing Days, Over the Hills and Far Away, Since I've Been Loving You, Kashmir, That's the Way, Going to California, How Many More Times, Moby Dick, Drums, Moby Dick, Stairway to Heaven, The Ocean"
